
2016-07-12 17:36:20!#logsep#!1!#logsep#!"wpeo_project"!#logsep#!4!#logsep#!"The task #4 has been created by the user #1"!#logsep#!0!#logsep#!wpeo_project!#logsep#!/Applications/MAMP/htdocs/wordpress/wp-content/plugins/task-manager/core/wpeo_logs/controller/log.controller.01.php line 33 function log_datas_in_files()<br />/Applications/MAMP/htdocs/wordpress/wp-content/plugins/task-manager/core/task/controller/task.action.01.php line 75 function taskmanager\log\eo_log()<br /> line  function create_task()<br />/Applications/MAMP/htdocs/wordpress/wp-includes/plugin.php line 525 function call_user_func_array()<br />/Applications/MAMP/htdocs/wordpress/wp-admin/admin-ajax.php line 89 function do_action()<br />
2016-07-12 17:36:31!#logsep#!1!#logsep#!"wpeo_project"!#logsep#!4!#logsep#!"The task #4 has been edited by the user #1 with the title : Test for task and the estimated time 0"!#logsep#!0!#logsep#!wpeo_project!#logsep#!/Applications/MAMP/htdocs/wordpress/wp-content/plugins/task-manager/core/wpeo_logs/controller/log.controller.01.php line 33 function log_datas_in_files()<br />/Applications/MAMP/htdocs/wordpress/wp-content/plugins/task-manager/core/task/controller/task.action.01.php line 129 function taskmanager\log\eo_log()<br /> line  function ajax_edit_task()<br />/Applications/MAMP/htdocs/wordpress/wp-includes/plugin.php line 525 function call_user_func_array()<br />/Applications/MAMP/htdocs/wordpress/wp-admin/admin-ajax.php line 89 function do_action()<br />
2016-07-12 17:37:51!#logsep#!1!#logsep#!"wpeo_project"!#logsep#!4!#logsep#!"The task #4 has been edited by the user #1 with the title : Test for task and the estimated time 30"!#logsep#!0!#logsep#!wpeo_project!#logsep#!/Applications/MAMP/htdocs/wordpress/wp-content/plugins/task-manager/core/wpeo_logs/controller/log.controller.01.php line 33 function log_datas_in_files()<br />/Applications/MAMP/htdocs/wordpress/wp-content/plugins/task-manager/core/task/controller/task.action.01.php line 129 function taskmanager\log\eo_log()<br /> line  function ajax_edit_task()<br />/Applications/MAMP/htdocs/wordpress/wp-includes/plugin.php line 525 function call_user_func_array()<br />/Applications/MAMP/htdocs/wordpress/wp-admin/admin-ajax.php line 89 function do_action()<br />
2016-07-12 17:38:27!#logsep#!1!#logsep#!"wpeo_project"!#logsep#!4!#logsep#!"The task #4 has been edited by the user #1 with the title : Test for task and the estimated time 300"!#logsep#!0!#logsep#!wpeo_project!#logsep#!/Applications/MAMP/htdocs/wordpress/wp-content/plugins/task-manager/core/wpeo_logs/controller/log.controller.01.php line 33 function log_datas_in_files()<br />/Applications/MAMP/htdocs/wordpress/wp-content/plugins/task-manager/core/task/controller/task.action.01.php line 129 function taskmanager\log\eo_log()<br /> line  function ajax_edit_task()<br />/Applications/MAMP/htdocs/wordpress/wp-includes/plugin.php line 525 function call_user_func_array()<br />/Applications/MAMP/htdocs/wordpress/wp-admin/admin-ajax.php line 89 function do_action()<br />
2016-07-12 17:39:08!#logsep#!1!#logsep#!"wpeo_project"!#logsep#!4!#logsep#!"Create the point #2 with the content :  for the task #4"!#logsep#!0!#logsep#!wpeo_project!#logsep#!/Applications/MAMP/htdocs/wordpress/wp-content/plugins/task-manager/core/wpeo_logs/controller/log.controller.01.php line 33 function log_datas_in_files()<br />/Applications/MAMP/htdocs/wordpress/wp-content/plugins/task-manager/core/point/controller/point.action.01.php line 57 function taskmanager\log\eo_log()<br /> line  function ajax_create_point()<br />/Applications/MAMP/htdocs/wordpress/wp-includes/plugin.php line 525 function call_user_func_array()<br />/Applications/MAMP/htdocs/wordpress/wp-admin/admin-ajax.php line 89 function do_action()<br />
2016-07-12 17:39:12!#logsep#!1!#logsep#!"wpeo_project"!#logsep#!2!#logsep#!"The point #2 was updated with the content :  and set to completed : 1"!#logsep#!0!#logsep#!wpeo_project!#logsep#!/Applications/MAMP/htdocs/wordpress/wp-content/plugins/task-manager/core/wpeo_logs/controller/log.controller.01.php line 33 function log_datas_in_files()<br />/Applications/MAMP/htdocs/wordpress/wp-content/plugins/task-manager/core/point/controller/point.action.01.php line 135 function taskmanager\log\eo_log()<br /> line  function ajax_edit_point()<br />/Applications/MAMP/htdocs/wordpress/wp-includes/plugin.php line 525 function call_user_func_array()<br />/Applications/MAMP/htdocs/wordpress/wp-admin/admin-ajax.php line 89 function do_action()<br />
2016-07-12 17:39:14!#logsep#!1!#logsep#!"wpeo_project"!#logsep#!4!#logsep#!"Create the point #3 with the content :  for the task #4"!#logsep#!0!#logsep#!wpeo_project!#logsep#!/Applications/MAMP/htdocs/wordpress/wp-content/plugins/task-manager/core/wpeo_logs/controller/log.controller.01.php line 33 function log_datas_in_files()<br />/Applications/MAMP/htdocs/wordpress/wp-content/plugins/task-manager/core/point/controller/point.action.01.php line 57 function taskmanager\log\eo_log()<br /> line  function ajax_create_point()<br />/Applications/MAMP/htdocs/wordpress/wp-includes/plugin.php line 525 function call_user_func_array()<br />/Applications/MAMP/htdocs/wordpress/wp-admin/admin-ajax.php line 89 function do_action()<br />
2016-07-12 17:39:17!#logsep#!1!#logsep#!"wpeo_project"!#logsep#!3!#logsep#!"The point #3 was updated with the content :  and set to completed : 0"!#logsep#!0!#logsep#!wpeo_project!#logsep#!/Applications/MAMP/htdocs/wordpress/wp-content/plugins/task-manager/core/wpeo_logs/controller/log.controller.01.php line 33 function log_datas_in_files()<br />/Applications/MAMP/htdocs/wordpress/wp-content/plugins/task-manager/core/point/controller/point.action.01.php line 135 function taskmanager\log\eo_log()<br /> line  function ajax_edit_point()<br />/Applications/MAMP/htdocs/wordpress/wp-includes/plugin.php line 525 function call_user_func_array()<br />/Applications/MAMP/htdocs/wordpress/wp-admin/admin-ajax.php line 89 function do_action()<br />
2016-07-12 17:39:21!#logsep#!1!#logsep#!"wpeo_project"!#logsep#!3!#logsep#!"The point #3 was deleted for the task #4. The elapsed time for this point was 0 minute(s). The elapsed time for this task is now 0 minute(s)"!#logsep#!0!#logsep#!wpeo_project!#logsep#!/Applications/MAMP/htdocs/wordpress/wp-content/plugins/task-manager/core/wpeo_logs/controller/log.controller.01.php line 33 function log_datas_in_files()<br />/Applications/MAMP/htdocs/wordpress/wp-content/plugins/task-manager/core/point/controller/point.action.01.php line 98 function taskmanager\log\eo_log()<br /> line  function ajax_delete_point()<br />/Applications/MAMP/htdocs/wordpress/wp-includes/plugin.php line 525 function call_user_func_array()<br />/Applications/MAMP/htdocs/wordpress/wp-admin/admin-ajax.php line 89 function do_action()<br />
